new_Date,A069500 종가(원),A252650 종가(원),A251890 종가(원),A156080 종가(원),A226980 종가(원),A229200 종가(원)
2019-10-07,0.001679104,-0.00284738,0.007756233,-0.00394633,-0.004149378,0.0365521
2019-10-08,0.014714099,0.006853227,0.009895547,0.013074485,0.010714286,0.011578947
2019-10-10,-0.00715859,-0.012478729,0,-0.00586625,-0.008833922,-0.00364204
2019-10-11,0.007025328,0.005169443,0,0.009441385,-0.000594177,-0.007310705
2019-10-14,0.010280889,0.015428571,0.01306478,0.008573655,0.017241379,0.019989479
2019-10-15,0.001272033,0.003939223,0.007522837,0.001545595,0.005260082,0.010830325
2019-10-16,0.005626134,0.006726457,0.0048,0.008873457,0.008139535,0.008673469
2019-10-17,-0.003248511,-0.002783964,-0.001061571,-0.003824092,-0.002883506,-0.011633789
2019-10-18,-0.009958356,-0.002791736,-0.003188098,-0.010364683,0,-0.008700102
2019-10-21,0.005669349,-0.00055991,0,0.002327386,-0.005205321,0.021683015
2019-10-22,0.013275141,0.007843137,0.010127932,0.016640867,0.010465116,0.02475998
2019-10-23,-0.006101938,-0.00889383,0.005277045,-0.001141987,-0.012082854,0.031558185
2019-10-24,0.002708559,-0.003925967,0,0.000762195,0,-0.010516252
2019-10-25,0.000900414,0.003378378,-0.006824147,0.000761615,0.000582411,-0.026570048
2019-10-28,0.003778338,0.003928171,0.001057082,0.001141553,0.006402794,-0.00248139
2019-10-29,-0.002150923,-0.002235886,0.004223865,-0.001900418,-0.001735107,0.014925373
2019-10-30,-0.010059278,-0.001680672,-0.001051525,-0.003808073,-0.008690614,-0.001960784
2019-10-31,0.003810561,-0.004489338,0.001052632,0.008792049,0.003506721,0.001964637
2019-11-01,0.007592191,0.002254791,0.003680336,-0.001894657,-0.003494467,0.007843137
2019-11-04,0.01435235,0.01856018,0.009952855,0.018602885,0.016949153,0.011673152
2019-11-05,0.006720906,0.005521811,0.007261411,0.003354454,0.001724138,0.011057692
2019-11-06,0.000527056,-0.000549149,0,0.002971768,0.000573723,-0.01616738
2019-11-07,-0.001229148,0.001648352,-0.005149331,-0.00037037,-0.000573394,-0.005799903
2019-11-08,-0.003340366,-0.000548546,-0.005693582,0.001111523,0.002294894,-0.000486145
2019-11-11,-0.00776151,-0.006037322,-0.003643935,-0.013323464,-0.008013738,-0.01459144
2019-11-12,0.008888889,0,0,0.005251313,0.004616272,0.012833169
2019-11-13,-0.008105727,-0.005521811,0,-0.004850746,-0.008041356,-0.015107212
2019-11-14,0.007994315,0.001110494,0.000522466,-0.000374953,0.002895194,0.004453241
2019-11-15,0.014099401,0.013865779,0.003133159,0.019129782,0.006351039,0.016256158
2019-11-18,-0.001042753,-0.004923414,0.006246746,0.002576371,-0.002294894,-0.001938924
2019-11-19,-0.004349339,-0.0104453,-0.006207967,-0.011380323,-0.006325474,-0.020883924
2019-11-20,-0.012930281,-0.004444444,-0.022904737,-0.008911994,-0.012731481,-0.024801587
2019-11-21,-0.014692866,-0.012834821,-0.017048482,-0.014612214,-0.013481829,-0.019328586
2019-11-22,0.00485088,0.002826456,-0.003252033,0.003422053,0.004753417,-0.002593361
2019-11-25,0.011085285,0.015219842,0.015225666,0.010231148,0.015375517,0.025481019
2019-11-26,0.000176835,0.00388673,0.010712373,0,0.005824112,0.003042596
2019-11-27,0.00106082,0.003871681,-0.005299417,0.003750938,0.005211349,-0.002527806
2019-11-28,-0.004415401,-0.003305785,-0.011188066,-0.002242152,-0.005760369,-0.019766853
2019-11-29,-0.017207735,-0.01050304,-0.013469828,-0.021348315,-0.005214368,-0.015511892
2019-12-02,0.003249097,0.001675978,0.005461496,0.006505932,0,0.009978992
2019-12-03,-0.005037783,0.002230898,-0.010320478,-0.006844106,-0.003494467,-0.01300052
2019-12-04,-0.006690778,-0.01279911,-0.005488474,-0.007274119,-0.009351257,-0.004741834
2019-12-05,-0.002366648,-0.006200676,-0.014348786,-0.002699576,-0.004129794,-0.008999471
2019-12-06,0.011678832,0.00680658,0.017917133,0.009280742,0.000592417,0.016559829
2019-12-09,0.00450938,-0.006760563,-0.00110011,0.009961686,-0.012433393,-0.001576458
2019-12-10,0.005027833,0.00567215,-0.001651982,-0.004552352,0.009592326,-0.003684211
